country,year,pop,continent,gdpPercap,lifeExp
00000015134,2019-06,19900000,cz,199,3.322758
00000015134,2019-07,47100000,cz,272,5.93947
00000015134,2019-08,75000000,cz,279,13.027619
00000015134,2019-09,102900000,cz,279,12
00000015134,2019-10,134800000,cz,319,14.886803
00000015134,2019-11,176000000,cz,412,14.624013
00000015134,2019-12,240500000,cz,645,13.867266
00000015134,2020-01,279500000,cz,390,28.649036
00000017133,2019-04,27500000,cz,275,3.829017
00000017133,2019-06,44200000,cz,167,7.380197
00000017133,2019-10,69900000,cz,257,7.719492
00000017133,2019-11,112500000,cz,426,9.347736
00000017133,2019-12,171500000,cz,590,9.888716
00000017133,2020-01,205000000,cz,335,21.01271
00000017133,2020-02,239000000,cz,340,33.714205
00000028508,2019-03,17900000,cz,179,2.660128
00000028508,2019-04,37500000,cz,196,5.221387
00000028508,2019-05,56900000,cz,194,9.340118
00000028508,2019-06,71200000,cz,143,11.888462
00000028508,2019-10,97400000,cz,262,10.756488
00000028508,2019-11,119800000,cz,224,9.9543
00000028508,2019-12,146500000,cz,267,8.447212
00000028508,2020-01,167800000,cz,213,17.199672
00000030262,2019-03,17000000,cz,170,2.526378
00000030262,2019-07,33700000,cz,167,4.249685
00000030262,2019-10,56500000,cz,228,6.239647
00000030262,2019-11,60700000,cz,42,5.043623
00000030262,2019-12,73000000,cz,123,4.209191
00000030262,2020-01,74100000,cz,11,7.595326
00000031841,2019-04,500000,cz,5,0.069618
00000031841,2019-05,1500000,cz,10,0.246225
00000031841,2020-02,2500000,cz,10,0.352659
00000046786,2019-03,22600000,cz,226,3.358597
00000046786,2019-04,42300000,cz,197,5.889724
00000046786,2019-05,60500000,cz,182,9.931057
00000046786,2019-06,75500000,cz,150,12.606445
00000046786,2019-11,95900000,cz,204,7.968425
00000046786,2019-12,127100000,cz,312,7.328605
00000046786,2020-02,150800000,cz,237,21.272394
00000058487,2019-06,400000,cz,4,0.066789
00000058487,2019-09,1100000,cz,7,0.12828
00000081534,2019-07,20200000,cz,202,2.547289
00000081534,2019-09,43600000,cz,234,5.084548
00000081534,2019-12,71200000,cz,276,4.105403
00000081534,2020-01,95200000,cz,240,9.758098
00000081534,2020-02,116300000,cz,211,16.405699
00000081591,2019-04,500000,cz,5,0.069618
00000081591,2019-05,700000,cz,2,0.114905
00000081591,2019-06,800000,cz,1,0.133578
00000081591,2019-10,1200000,cz,4,0.132523
00000089163,2019-03,59500000,cz,595,8.842324
00000089163,2019-05,120800000,cz,613,19.829284
00000089163,2019-06,166300000,cz,455,27.767574
00000089163,2019-07,225900000,cz,596,28.486759
00000089163,2019-09,302600000,cz,767,35.28863
00000089163,2019-12,401100000,cz,985,23.127487
00000089163,2020-01,476400000,cz,753,48.831488
00000089163,2020-02,547700000,cz,713,77.260545
00000091415,2019-03,6400000,cz,64,0.951107
00000091415,2019-06,9300000,cz,29,1.552847
00000091415,2019-07,14700000,cz,54,1.85372
00000091415,2019-08,21200000,cz,65,3.682474
00000091415,2019-09,32800000,cz,116,3.825073
00000091415,2019-11,40600000,cz,78,3.373494
00000091415,2020-02,48500000,cz,79,6.841586
00000094796,2019-04,6600000,cz,66,0.918964
00000094796,2019-06,12500000,cz,59,2.08716
00000094796,2019-07,20400000,cz,79,2.572509
00000094796,2019-08,27600000,cz,72,4.794164
00000094796,2019-09,37100000,cz,95,4.326531
00000094796,2020-02,44900000,cz,78,6.333757
00000095036,2019-04,14300000,cz,143,1.991089
00000095036,2019-07,34700000,cz,204,4.375788
00000097097,2019-03,7800000,cz,78,1.159162
00000097097,2019-04,15100000,cz,73,2.102478
00000097097,2019-05,20400000,cz,53,3.348654
00000097097,2019-07,25400000,cz,50,3.203026
00000097097,2019-08,27700000,cz,23,4.811534
00000097097,2019-09,29500000,cz,18,3.440233
00000097097,2019-10,29600000,cz,1,3.268912
00000100467,2019-03,31200000,cz,312,4.636647
00000100467,2019-04,64000000,cz,328,8.911167
00000100467,2019-06,88500000,cz,245,14.777091
00000100467,2019-08,131100000,cz,426,22.772277
00000100467,2019-11,177900000,cz,468,14.781886
00000100467,2020-01,224300000,cz,464,22.99098
00000100467,2020-02,262300000,cz,380,37.000987
00000101056,2019-03,900000,cz,9,0.133749
00000101056,2019-06,3000000,cz,21,0.500918
00000102065,2019-04,1200000,cz,12,0.167084
00000102065,2019-05,2600000,cz,14,0.426789
00000102065,2019-07,3800000,cz,12,0.479193
00000102065,2019-08,5400000,cz,16,0.937989
00000102065,2019-09,6500000,cz,11,0.758017
00000102065,2019-12,7400000,cz,9,0.426685
00000102452,2019-03,1800000,cz,18,0.267499
00000102452,2019-05,5500000,cz,37,0.902823
00000102452,2019-06,9100000,cz,36,1.519452
00000102452,2019-07,13900000,cz,48,1.752837
00000102975,2019-04,30300000,cz,303,4.218881
00000102975,2019-06,60300000,cz,300,10.068459
00000102975,2019-07,104500000,cz,442,13.177806
00000102975,2019-08,133300000,cz,288,23.154421
00000102975,2019-10,180500000,cz,472,19.933738
00000102975,2019-11,231600000,cz,511,19.243872
00000102975,2019-12,290400000,cz,588,16.744508
00000102975,2020-01,350800000,cz,604,35.95736
00000103282,2019-03,79200000,cz,792,11.769951
00000103282,2019-04,148700000,cz,695,20.704539
00000103282,2019-06,191300000,cz,426,31.941893
00000103282,2019-10,300700000,cz,1094,33.208172
00000103282,2019-11,545300000,cz,2446,45.309514
00000103282,2019-12,972200000,cz,4269,56.057199
00000103343,2019-07,4400000,cz,44,0.554855
00000103343,2019-09,10700000,cz,63,1.247813
00000103343,2019-12,18600000,cz,79,1.072479
00000104291,2019-03,3100000,cz,31,0.460693
00000104291,2019-05,5400000,cz,23,0.886408
00000104291,2019-06,6600000,cz,12,1.10202
00000104291,2019-07,8900000,cz,23,1.12232
00000104291,2019-09,11400000,cz,25,1.329446
00000104291,2019-11,14900000,cz,35,1.238056
